memory,time,conversation_index,session_id,cpu_edge_ns,cpu_cloud_ns,ram_edge_bytes,ram_cloud_bytes,disk_edge_bytes,disk_cloud_bytes,network_edge_bytes,network_cloud_bytes,openai_tokens,openai_cost_usd,api_latency_s,metric_window_s,toxic_latency,toxic_jitter,toxic_bandwidth,toxic_slow_close,toxic_timeout,toxic_slicer,toxic_limit_data,toxic_reset_peer
mem0,1763613895.5004277,0,1,41933243223.17242,128948832577.30511,5330809694.233375,42666448402.41546,0.0,4264162.436490765,4069527.2865730734,15973491.580505736,39464,0.00487748,53.57263684272766,53,200,50,1000,0,0,0,0,0
mem0,1763614000.389548,0,2,96210337764.66344,274948880193.473,6560226760.86154,52887700527.26151,0.0,28125841.40085525,5936519.40349897,60903374.24551494,43362,0.005582340000000001,65.49067878723145,65,200,50,1000,0,0,0,0,0
mem0,1763614348.696888,0,3,1705001879173.423,5330542696252.342,30622112990.100494,248039886555.46802,0.0,344215127.8040473,73346202.06383911,811411345.4216117,51248,0.00679394,308.8799169063568,308,200,50,1000,0,0,0,0,0
mem0,1763614456.02041,0,4,94674147903.09775,363684579226.26184,6693185749.970149,55001509337.79106,0.0,13249231.111621538,6589812.159699279,55394238.30262435,46287,0.0059117399999999995,67.85521173477173,67,200,50,1000,0,0,0,0,0
mem0,1763614561.364463,0,5,87848096853.86104,344230888613.50195,6667954051.878785,55265207947.636314,0.0,18888163.231389657,6135660.861895733,56430900.17490125,39496,0.005208580000000001,66.00944757461548,66,200,50,1000,0,0,0,0,0
mem0,1763614670.3629968,0,6,94848724228.45673,382306839741.83685,6891029904.695649,57924157974.260864,0.0,20771329.407496493,5989662.622851124,64064568.18047134,42777,0.0055609200000000004,69.70638418197632,69,200,50,1000,0,0,0,0,0
mem0,1763614802.8275146,0,7,165390812816.41788,792220278221.0116,9254914466.408598,77907980023.74199,2087067.0960730668,66272691.23582684,8846173.40678323,147240704.225447,66751,0.00854884,93.09211540222168,93,200,50,1000,0,0,0,0,0
mem0,1763614988.118101,0,8,403372951594.3958,2148683595840.6836,14378116682.151714,121261845256.82758,519740.84276226186,146212664.911008,18938841.813237425,382018874.95726967,92035,0.011834020000000002,145.81587409973145,145,200,50,1000,0,0,0,0,0
mem0,1763615104.3380136,0,9,124295135478.05582,698288654675.7588,7587837844.210526,64195130044.63155,0.0,47770082.872908115,6735685.261031422,83286729.70291469,45775,0.00603502,76.88897585868835,76,200,50,1000,0,0,0,0,0
mem0,1763615253.8943932,0,10,244374204169.34732,1489310949855.011,10942759284.36365,92703205562.18163,310046.22440625523,90804493.06895794,12840861.914249185,185277967.35521597,56896,0.007420480000000001,110.29805374145508,110,200,50,1000,0,0,0,0,0
mem0,1763615364.1044343,0,11,97843874113.23079,607053536651.8115,7121028918.084512,60278451993.2394,1620460.0129173072,24555852.275912113,6639763.212817482,62215200.46497864,40780,0.005351980000000001,71.03506517410278,71,200,50,1000,0,0,0,0,0
mem0,1763615470.2287962,0,12,84654439013.84763,529034888695.8623,6637500415.999998,56173225425.45461,0.0,33437630.984525703,5945045.281758403,57510373.296206295,50137,0.006335740000000001,66.82439088821411,66,200,50,1000,0,0,0,0,0
mem0,1763615600.1390345,0,13,161473505731.22195,1135723349288.7498,8981952329.955566,76438729841.77785,0.0,69116212.96897346,8440117.90219194,149170412.51702598,53227,0.007101520000000001,90.54168510437012,90,200,50,1000,0,0,0,0,0
mem0,1763615768.6065738,0,14,340090136902.4581,2534763423249.9507,12833011600.868217,109470229781.82951,0.0,152849546.83684394,15166990.860283421,329573411.36927706,86487,0.01149732,129.1769504547119,129,200,50,1000,0,0,0,0,0
mem0,1763615889.8125148,0,15,133507118777.60658,931132552581.9902,8094228429.4320965,69230369046.1237,0.0,43467240.667283975,7342247.299406972,96770041.49458303,59327,0.007364360000000001,81.8626000881195,81,200,50,1000,0,0,0,0,0
mem0,1763616024.6596713,0,16,171636753054.82358,1522762156867.281,9474471741.978947,81229366713.93707,0.0,84760944.16830678,9229763.392744156,162251373.08236563,49826,0.006892640000000001,95.44239282608032,95,200,50,1000,0,0,0,0,0
mem0,1763616152.0063262,0,17,129626028684.00871,1248671731104.1538,8663763928.409618,74635798752.16716,0.0,59719023.50192506,8606605.012671534,127622481.72235703,58832,0.0076222400000000015,87.94699907302856,87,200,50,1000,0,0,0,0,0
mem0,1763616256.0122013,0,18,84343361094.44225,726782973411.3833,6401925312.0,55224579520.0,0.0,14431611.696747601,5626095.225781531,48258042.42516267,52191,0.006672900000000001,64.6160786151886,64,200,50,1000,0,0,0,0,0
mem0,1763616350.6585891,0,19,59582236905.330025,556318973270.4701,5545140447.418181,47675288036.072754,50067.5534955741,14085290.85858022,4929443.685340212,39285426.21367373,39350,0.005305700000000001,55.39540767669678,55,200,50,1000,0,0,0,0,0
