memory,time,conversation_index,session_id,cpu_edge_ns,cpu_cloud_ns,ram_edge_bytes,ram_cloud_bytes,disk_edge_bytes,disk_cloud_bytes,network_edge_bytes,network_cloud_bytes,openai_tokens,openai_cost_usd,api_latency_s,metric_window_s,toxic_latency,toxic_jitter,toxic_bandwidth,toxic_slow_close,toxic_timeout,toxic_slicer,toxic_limit_data,toxic_reset_peer
graphiti,1763679682.4280114,0,1,1025657387908.9219,14206224914570.412,33534548483.047802,323583004248.2541,0.0,122872813.07033217,38402392.450304665,7426119781.881987,137223,7.688000000000001e-05,349.18059730529785,349,0,0,0,0,0,0,0,0
graphiti,1763680172.3836424,0,2,3541861218393.178,25136827529293.008,44686960599.38744,458350092563.62524,0.0,745184770.1253631,946771017.2123802,24929475114.90178,199187,0.00010092,450.6486346721649,450,0,0,0,0,0,0,0,0
graphiti,1763680849.8357217,0,3,7167190330150.166,41817902512016.3,65994328215.10831,674638303231.9683,0.0,1622393212.425123,2097584811.5518904,52065341278.99102,298267,0.00015628,637.9815361499786,637,0,0,0,0,0,0,0,0
graphiti,1763681360.138232,0,4,4031015602193.5435,21320076218794.81,50859759807.72775,510362629751.82477,0.0,938722286.8763483,1919370212.4967685,29059213430.562355,223098,0.00012528,470.9645743370056,470,0,0,0,0,0,0,0,0
graphiti,1763681750.3366506,0,5,2232946024197.311,11431602413007.525,39871921918.53714,384018456412.1581,0.0,472243454.73315895,1043411335.029045,15599128273.479454,159245,8.216e-05,350.8408703804016,350,0,0,0,0,0,0,0,0
graphiti,1763682262.5387769,0,6,3904270630004.0664,20982585390153.484,54578336464.27119,522746457869.0099,0.0,951747296.6973498,1172246285.5756626,27817686166.58642,208925,0.00011164000000000001,472.62556624412537,472,0,0,0,0,0,0,0,0
graphiti,1763682956.3710063,0,7,7455957359349.653,39494814942116.055,75649912030.33643,726628291875.239,0.0,1887589711.1880488,2298204096.1550517,55634271480.269325,293097,0.00016076,654.3282122612,654,0,0,0,0,0,0,0,0
graphiti,1763684040.0675042,0,8,19204066104464.36,103393659782296.4,118853452227.18782,1164268596769.3508,0.0,6040889714.125126,5693921350.280411,143975717830.62143,471346,0.00025284,1044.142424583435,1044,0,0,0,0,0,0,0,0
graphiti,1763684449.6642268,0,9,2608800488921.0967,12705365568144.033,47571065617.989204,421076749649.6328,0.0,625602459.8693826,2387678440.283994,18586376084.925568,162956,7.955999999999999e-05,370.18777799606323,370,0,0,0,0,0,0,0,0
graphiti,1763685138.412953,0,10,7633870836235.009,40534186708885.62,89404917283.5008,746481085763.4519,0.0,3712199126.5201173,2945748506.7366605,56357711319.574905,315300,0.00017732000000000002,649.4461781978607,649,0,0,0,0,0,0,0,0
graphiti,1763685640.0986648,0,11,4033692858053.435,20298460448696.03,65408868511.584435,533612313737.41266,0.0,1207659287.5621998,2075075557.7919333,30368083867.652027,236663,0.00012984000000000002,462.25479078292847,462,0,0,0,0,0,0,0,0
graphiti,1763686112.861362,0,12,3471347016904.408,17077801598473.328,61944528337.88453,500911584272.55383,0.0,2730064193.810384,1486288810.7133863,25360345505.876266,211569,0.0001158,433.39965987205505,433,0,0,0,0,0,0,0,0
graphiti,1763686617.510261,0,13,4000544970582.001,20257152542124.492,66130434510.4516,538215418054.1938,0.0,1628379118.4443843,1382217001.4886394,29546299189.61692,224543,0.00011504000000000001,465.26198053359985,465,0,0,0,0,0,0,0,0
graphiti,1763687673.3194492,0,14,18686803814403.97,95524373519386.0,143785821958.8993,1178441878303.0505,0.0,10433850263.06441,4996179107.647895,137517481912.1307,453652,0.00024688,1016.1129252910614,1016,0,0,0,0,0,0,0,0
graphiti,1763688360.0564716,0,15,7666903978699.717,36069165896572.6,95623681468.73564,753550618826.5804,0.0,4000651120.992042,4236674052.42952,54712025165.59557,295265,0.00016224,647.2283437252045,647,0,0,0,0,0,0,0,0
graphiti,1763689045.4397416,0,16,7512076765487.851,37181918932120.195,98244156919.26825,752529730332.9753,0.0,4828815149.210837,2709131965.2648606,55267795964.76728,305728,0.00018108,645.9072341918945,645,0,0,0,0,0,0,0,0
graphiti,1763689776.8080556,0,17,8744450171409.605,42455650956657.99,104944702210.59335,806489120643.5216,0.0,6146460551.808319,3153289289.5375023,63734641468.71008,311539,0.00016892,691.850672006607,691,0,0,0,0,0,0,0,0
graphiti,1763690409.1257162,0,18,6525063793093.769,30447904005889.453,89931570777.94585,691363097392.4418,0.0,3539286140.8565907,2775695010.9856524,43737407230.34072,260262,0.00013092,592.7699749469757,592,0,0,0,0,0,0,0,0
graphiti,1763690862.5004544,0,19,3094706417102.8345,14658465768599.027,62812533291.38982,482980456403.3661,0.0,1032555992.462034,1518073659.4032023,22167338743.052338,180684,9.896e-05,413.9016664028168,413,0,0,0,0,0,0,0,0
